ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849056::Physical Data Type,1075849148::Comments,1075849176::Physical Name
1075838981::284,customer_address,Column,Street address of the customer,Customer Address,varchar(20),Street address of the customer,Customer Address
1075838981::285,customer_city,Column,City associated with Customer�s address,Customer City,varchar(20),City associated with Customer�s address,Customer City
1075838981::286,customer_first_name,Column,First name of a Customer,Customer First Name,varchar(20),First name of a Customer,Customer First Name
1075838981::287,customer_last_name,Column,Last name of a Customer,Customer Last Name,varchar(20),Last name of a Customer,Customer Last Name
1075838981::288,customer_state,Column,The two-character state abbreviation associated with customer�s address,Customer State,varchar(20),The two-character state abbreviation associated with customer�s address,Customer State
1075838981::289,customer_zip_code,Column,zip-code associated with Customer�s address,Customer Zip Code,integer,zip-code associated with Customer�s address,Customer Zip Code
1075838981::290,email,Column,The email address associated with a customer,Email,varchar,The email address associated with a customer,Email
1075838981::292,rental_record_date,Column,The date on which the rental transaction  is recorded,Rental Record Date,datetime,The date on which the rental transaction  is recorded,Rental Record Date
1075838981::293,movie_copy_number,Column,A unique number  identifying the movie copy,Movie Copy Number,integer,A unique number  identifying the movie copy,Movie Copy Number
1075838981::294,movie_number,Column,A unique number that identifies a movie,Movie Number,integer,A unique number that identifies a movie,Movie Number
1075838981::295,rental_date,Column,The date on which the movie was rented,Rental Date,datetime,The date on which the movie was rented,Rental Date
1075838981::296,due_date,Column,The date on which the  movie is due back to the store,Due Date,datetime,The date on which the  movie is due back to the store,Due Date
1075838981::297,rental_status,Column,Rental status of the movie copy,Rental Status,varchar(20),Rental status of the movie copy,Rental Status
1075838981::298,overdue_charge,Column,The amount owed for an overdue movie rental,Overdue Charge,integer,The amount owed for an overdue movie rental,Overdue Charge
1075838981::299,rental_rate,Column,Amount charged for the rental of a movie,Rental Rate,integer,Amount charged for the rental of a movie,Rental Rate
1075838981::301,movie_title,Column,,Movie Title,varchar(20),,Movie Title
1075838981::303,credit_card,Column,A credit card number associated with Customer,Credit Card,integer,A credit card number associated with Customer,Credit Card
1075838981::304,credit_card_exp,Column,Expiration date on the customer�s credit card,Credit Card Exp,integer,Expiration date on the customer�s credit card,Credit Card Exp
1075838981::305,status_code,Column,Payment status associated with a Customer,Status Code,varchar(20),Payment status associated with a Customer,Status Code
1075838981::306,Overdue_Charge_Rate,Column,,Overdue Charge Rate,char(18),,Overdue Charge Rate
1075838981::308,customer_number,Column,A unique number associated with Customer,Customer Number,integer,A unique number associated with Customer,Customer Number
1075838981::309,customer_address,Column,Street address of the customer,Customer Address,varchar(20),Street address of the customer,Customer Address
1075838981::310,customer_city,Column,City associated with Customer�s address,Customer City,varchar(20),City associated with Customer�s address,Customer City
1075838981::311,customer_first_name,Column,First name of a Customer,Customer First Name,varchar(20),First name of a Customer,Customer First Name
1075838981::312,customer_last_name,Column,Last name of a Customer,Customer Last Name,varchar(20),Last name of a Customer,Customer Last Name
1075838981::313,customer_state,Column,The two-character state abbreviation associated with customer�s address,Customer State,varchar(20),The two-character state abbreviation associated with customer�s address,Customer State
1075838981::314,customer_zip_code,Column,zip-code associated with Customer�s address,Customer Zip Code,integer,zip-code associated with Customer�s address,Customer Zip Code
1075838981::315,email,Column,The email address associated with a customer,Email,varchar,The email address associated with a customer,Email
1075838981::317,rental_record_date,Column,The date on which the rental transaction  is recorded,Rental Record Date,datetime,The date on which the rental transaction  is recorded,Rental Record Date
1075838981::318,movie_copy_number,Column,A unique number  identifying the movie copy,Movie Copy Number,integer,A unique number  identifying the movie copy,Movie Copy Number
1075838981::319,movie_number,Column,A unique number that identifies a movie,Movie Number,integer,A unique number that identifies a movie,Movie Number
1075838981::320,rental_date,Column,The date on which the movie was rented,Rental Date,datetime,The date on which the movie was rented,Rental Date
1075838981::321,due_date,Column,The date on which the  movie is due back to the store,Due Date,datetime,The date on which the  movie is due back to the store,Due Date
1075838981::322,rental_status,Column,Rental status of the movie copy,Rental Status,varchar(20),Rental status of the movie copy,Rental Status
1075838981::323,overdue_charge,Column,The amount owed for an overdue movie rental,Overdue Charge,integer,The amount owed for an overdue movie rental,Overdue Charge
1075838981::324,rental_rate,Column,Amount charged for the rental of a movie,Rental Rate,integer,Amount charged for the rental of a movie,Rental Rate
1075838981::325,Overdue_Charge_Rate,Column,,Overdue Charge Rate,char(18),,Overdue Charge Rate
1075838981::330,movie number,Column,A unique number that identifies a movie,Movie Number,integer,A unique number that identifies a movie,Movie Number
1075838981::335,store number,Column,A unique identifier of the video store,Store Number,integer,A unique identifier of the video store,Store Number
1075838981::340,payment transaction number,Column,A unique number associated with the payment,Payment Transaction Number,integer,A unique number associated with the payment,Payment Transaction Number
1075838981::342,payment type,Column,"check\, credit card\, e-payment.",Payment Type,char(18),"check\, credit card\, e-payment.",Payment Type
1075838981::343,payment amount,Column,The amount paid to rent the movie,Payment Amount,numeric,The amount paid to rent the movie,Payment Amount
1075838981::344,payment date,Column,The date on which the movie was rented,Payment Date,datetime,The date on which the movie was rented,Payment Date
1075838981::345,payment status,Column,The status of the payment,Payment Status,varchar(1),The status of the payment,Payment Status
1075838981::346,check bank number,Column,The bank number associated with the check issued for payment,Check Bank Number,integer,The bank number associated with the check issued for payment,Check Bank Number
1075838981::347,check number,Column,,Check Number,integer,,Check Number
1075838981::348,epay vendor number,Column,Defines the vendor associated with the customer�s electronic payment,Epay Vendor Number,integer,Defines the vendor associated with the customer�s electronic payment,Epay Vendor Number
1075838981::349,epay account number,Column,Defines the customer account associated with the  electronic payment,Epay Account Number,integer,Defines the customer account associated with the  electronic payment,Epay Account Number
1075838981::350,credit card number,Column,The number of the customer credit card,Credit Card Number,char(18),The number of the customer credit card,Credit Card Number
1075838981::351,credit card exp,Column,Expiration date on the customer�s credit card,Credit Card Exp,datetime,Expiration date on the customer�s credit card,Credit Card Exp
1075838981::352,credit card type,Column,,Credit Card Type,char(18),,Credit Card Type
1075838981::355,employee number,Column,A unique number that identifies the employee,Employee Number,varchar(20),A unique number that identifies the employee,Employee Number
1075838981::359,Customer No,Column,A unique number associated with a customer,Customer No,integer,A unique number associated with a customer,Customer No
1075838981::363,customer number,Column,A unique number associated with a customer,Customer Number,integer,A unique number associated with a customer,Customer Number
1075838981::367,payment transaction number,Column,A unique number associated with the payment,Payment Transaction Number,integer,A unique number associated with the payment,Payment Transaction Number
